Time;opctyngrppub01 : Actives;anomalie
23/06/2022 16:00;532;0
23/06/2022 18:00;384;0
23/06/2022 20:00;231;0
23/06/2022 22:00;165;0
24/06/2022 00:00;1490;0
24/06/2022 02:00;6195;0
24/06/2022 04:00;5225;0
24/06/2022 06:00;173;0
24/06/2022 08:00;403;0
24/06/2022 10:00;643;0
24/06/2022 12:00;519;0
24/06/2022 14:00;461;0
24/06/2022 16:00;483;0
24/06/2022 18:00;365;0
24/06/2022 20:00;230;0
24/06/2022 22:00;160;0
25/06/2022 00:00;1483;0
25/06/2022 02:00;6167;0
25/06/2022 04:00;5182;0
25/06/2022 06:00;142;0
25/06/2022 08:00;187;0
25/06/2022 10:00;260;0
25/06/2022 12:00;275;0
25/06/2022 14:00;223;0
25/06/2022 16:00;204;0
25/06/2022 18:00;220;0
25/06/2022 20:00;208;0
25/06/2022 22:00;163;0
26/06/2022 00:00;1475;0
26/06/2022 02:00;6162;0
26/06/2022 04:00;5161;0
26/06/2022 06:00;148;0
26/06/2022 08:00;150;0
26/06/2022 10:00;178;0
26/06/2022 12:00;183;0
26/06/2022 14:00;158;0
26/06/2022 16:00;168;0
26/06/2022 18:00;186;0
26/06/2022 20:00;168;0
26/06/2022 22:00;154;0
27/06/2022 00:00;1471;0
27/06/2022 02:00;6129;0
27/06/2022 04:00;5130;0
27/06/2022 06:00;168;0
27/06/2022 08:00;418;0
27/06/2022 10:00;670;0
27/06/2022 12:00;523;0
27/06/2022 14:00;499;0
27/06/2022 16:00;520;0
27/06/2022 18:00;337;0
27/06/2022 20:00;200;0
27/06/2022 22:00;151;0
28/06/2022 00:00;1476;0
28/06/2022 02:00;6208;0
28/06/2022 04:00;5206;0
28/06/2022 06:00;164;0
28/06/2022 08:00;413;0
28/06/2022 10:00;685;0
28/06/2022 12:00;543;0
28/06/2022 14:00;513;0
28/06/2022 16:00;550;0
28/06/2022 18:00;382;0
28/06/2022 20:00;203;0
28/06/2022 22:00;154;0
29/06/2022 00:00;1491;0
29/06/2022 02:00;7376;1
29/06/2022 04:00;6787;1
29/06/2022 06:00;148;0
29/06/2022 08:00;370;0
29/06/2022 10:00;635;0
29/06/2022 12:00;505;0
29/06/2022 14:00;464;0
29/06/2022 16:00;485;0
29/06/2022 18:00;341;0
29/06/2022 20:00;216;0
29/06/2022 22:00;175;0
30/06/2022 00:00;1480;0
30/06/2022 02:00;6213;0
30/06/2022 04:00;5264;0
30/06/2022 06:00;145;0
30/06/2022 08:00;399;0
30/06/2022 10:00;702;0
30/06/2022 12:00;509;0
30/06/2022 14:00;484;0
30/06/2022 16:00;509;0
30/06/2022 18:00;352;0
30/06/2022 20:00;214;0
30/06/2022 22:00;154;0
01/07/2022 00:00;1478;0
01/07/2022 02:00;7396;1
01/07/2022 04:00;6895;1
01/07/2022 06:00;164;0
01/07/2022 08:00;378;0
01/07/2022 10:00;684;0
01/07/2022 12:00;531;0
01/07/2022 14:00;457;0
01/07/2022 16:00;498;0
01/07/2022 18:00;321;0
01/07/2022 20:00;219;0
01/07/2022 22:00;165;0
02/07/2022 00:00;1492;0
02/07/2022 02:00;6280;0
02/07/2022 04:00;5298;0
02/07/2022 06:00;134;0
02/07/2022 08:00;175;0
02/07/2022 10:00;251;0
02/07/2022 12:00;244;0
02/07/2022 14:00;197;0
02/07/2022 16:00;206;0
02/07/2022 18:00;210;0
02/07/2022 20:00;198;0
02/07/2022 22:00;155;0
03/07/2022 00:00;1476;0
03/07/2022 02:00;6185;0
03/07/2022 04:00;5215;0
03/07/2022 06:00;123;0
03/07/2022 08:00;138;0
03/07/2022 10:00;166;0
03/07/2022 12:00;179;0
03/07/2022 14:00;157;0
03/07/2022 16:00;151;0
03/07/2022 18:00;166;0
03/07/2022 20:00;195;0
03/07/2022 22:00;153;0
04/07/2022 00:00;1472;0
04/07/2022 02:00;6176;0
04/07/2022 04:00;5177;0
04/07/2022 06:00;148;0
04/07/2022 08:00;413;0
04/07/2022 10:00;684;0
04/07/2022 12:00;476;0
04/07/2022 14:00;481;0
04/07/2022 16:00;529;0
04/07/2022 18:00;325;0
04/07/2022 20:00;203;0
04/07/2022 22:00;159;0
05/07/2022 00:00;1488;0
05/07/2022 02:00;6223;0
05/07/2022 04:00;5257;0
05/07/2022 06:00;163;0
05/07/2022 08:00;396;0
05/07/2022 10:00;725;0
05/07/2022 12:00;527;0
05/07/2022 14:00;500;0
05/07/2022 16:00;528;0
05/07/2022 18:00;356;0
05/07/2022 20:00;221;0
05/07/2022 22:00;160;0
06/07/2022 00:00;1485;0
06/07/2022 02:00;6247;0
06/07/2022 04:00;5256;0
06/07/2022 06:00;149;0
06/07/2022 08:00;377;0
06/07/2022 10:00;635;0
06/07/2022 12:00;508;0
06/07/2022 14:00;454;0
06/07/2022 16:00;468;0
06/07/2022 18:00;369;0
06/07/2022 20:00;209;0
06/07/2022 22:00;165;0
07/07/2022 00:00;1507;0
07/07/2022 02:00;6235;0
07/07/2022 04:00;5276;0
07/07/2022 06:00;149;0
07/07/2022 08:00;350;0
07/07/2022 10:00;617;0
07/07/2022 12:00;491;0
07/07/2022 14:00;457;0
07/07/2022 16:00;493;0
07/07/2022 18:00;340;0
07/07/2022 20:00;208;0
07/07/2022 22:00;167;0
08/07/2022 00:00;1496;0
08/07/2022 02:00;6261;0
08/07/2022 04:00;5281;0
08/07/2022 06:00;161;0
08/07/2022 08:00;361;0
08/07/2022 10:00;603;0
08/07/2022 12:00;466;0
08/07/2022 14:00;420;0
08/07/2022 16:00;430;0
08/07/2022 18:00;333;0
08/07/2022 20:00;240;0
08/07/2022 22:00;166;0
09/07/2022 00:00;1508;0
09/07/2022 02:00;6296;0
09/07/2022 04:00;5275;0
09/07/2022 06:00;139;0
09/07/2022 08:00;178;0
09/07/2022 10:00;252;0
09/07/2022 12:00;240;0
09/07/2022 14:00;201;0
09/07/2022 16:00;206;0
09/07/2022 18:00;209;0
09/07/2022 20:00;193;0
09/07/2022 22:00;163;0
10/07/2022 00:00;1513;0
10/07/2022 02:00;6249;0
10/07/2022 04:00;5261;0
10/07/2022 06:00;140;0
10/07/2022 08:00;142;0
10/07/2022 10:00;163;0
10/07/2022 12:00;192;0
10/07/2022 14:00;171;0
10/07/2022 16:00;176;0
10/07/2022 18:00;175;0
10/07/2022 20:00;172;0
10/07/2022 22:00;152;0
11/07/2022 00:00;1493;0
11/07/2022 02:00;6231;0
11/07/2022 04:00;5264;0
11/07/2022 06:00;164;0
11/07/2022 08:00;378;0
11/07/2022 10:00;630;0
11/07/2022 12:00;464;0
11/07/2022 14:00;438;0
11/07/2022 16:00;503;0
11/07/2022 18:00;330;0
11/07/2022 20:00;207;0
11/07/2022 22:00;184;0
12/07/2022 00:00;1511;0
12/07/2022 02:00;6291;0
12/07/2022 04:00;5307;0
12/07/2022 06:00;167;0
12/07/2022 08:00;368;0
12/07/2022 10:00;655;0
12/07/2022 12:00;505;0
12/07/2022 14:00;476;0
12/07/2022 16:00;505;0
12/07/2022 18:00;376;0
12/07/2022 20:00;252;0
12/07/2022 22:00;183;0
13/07/2022 00:00;1521;0
13/07/2022 02:00;6300;0
13/07/2022 04:00;5332;0
13/07/2022 06:00;176;0
13/07/2022 08:00;371;0
13/07/2022 10:00;663;0
13/07/2022 12:00;526;0
13/07/2022 14:00;483;0
13/07/2022 16:00;514;0
13/07/2022 18:00;383;0
13/07/2022 20:00;230;0
13/07/2022 22:00;175;0
14/07/2022 00:00;1521;0
14/07/2022 02:00;2979;1
18/07/2022 10:00;1356;1
18/07/2022 12:00;406;0
18/07/2022 14:00;479;0
18/07/2022 16:00;541;0
18/07/2022 18:00;392;0
18/07/2022 20:00;224;0
18/07/2022 22:00;174;0
19/07/2022 00:00;1522;0
19/07/2022 02:00;6329;0
19/07/2022 04:00;5351;0
19/07/2022 06:00;172;0
19/07/2022 08:00;407;0
19/07/2022 10:00;676;0
19/07/2022 12:00;542;0
19/07/2022 14:00;496;0
19/07/2022 16:00;532;0
19/07/2022 18:00;388;0
19/07/2022 20:00;255;0
19/07/2022 22:00;213;0
20/07/2022 00:00;1559;0
20/07/2022 02:00;6369;0
20/07/2022 04:00;5425;0
20/07/2022 06:00;217;0
20/07/2022 08:00;396;0
20/07/2022 10:00;656;0
20/07/2022 12:00;498;0
20/07/2022 14:00;434;0
20/07/2022 16:00;474;0
